,Time,SNUADC/PLETH
4145765,8292.468,39.5293
4145766,8292.470000000001,39.9242
4145767,8292.472,39.9242
4145768,8292.474,39.9242
4145769,8292.476,39.9242
4145770,8292.478000000001,39.9242
4145771,8292.48,39.5293
4145772,8292.482,39.9242
4145773,8292.484,39.9242
4145774,8292.486,39.9242
4145775,8292.488000000001,39.9242
4145776,8292.49,39.9242
4145777,8292.492,39.9242
4145778,8292.494,39.9242
4145779,8292.496000000001,39.5293
4145780,8292.498,39.9242
4145781,8292.5,39.5293
4145782,8292.502,39.9242
4145783,8292.504,39.9242
4145784,8292.506000000001,39.9242
4145785,8292.508,39.9242
4145786,8292.51,39.9242
4145787,8292.512,39.9242
4145788,8292.514000000001,39.5293
4145789,8292.516,39.9242
4145790,8292.518,39.9242
4145791,8292.52,39.9242
4145792,8292.522,39.9242
4145793,8292.524000000001,39.9242
4145794,8292.526,39.5293
4145795,8292.528,39.5293
4145796,8292.53,39.5293
4145797,8292.532000000001,39.5293
4145798,8292.534,39.5293
4145799,8292.536,39.5293
4145800,8292.538,39.5293
4145801,8292.54,39.5293
4145802,8292.542000000001,39.5293
4145803,8292.544,39.5293
4145804,8292.546,39.5293
4145805,8292.548,39.5293
4145806,8292.550000000001,39.1343
4145807,8292.552,39.1343
4145808,8292.554,39.1343
4145809,8292.556,39.1343
4145810,8292.558,39.1343
4145811,8292.560000000001,39.1343
4145812,8292.562,39.1343
4145813,8292.564,39.1343
4145814,8292.566,39.1343
4145815,8292.568000000001,39.1343
4145816,8292.57,39.1343
4145817,8292.572,39.1343
4145818,8292.574,39.1343
4145819,8292.576000000001,39.1343
4145820,8292.578,39.1343
4145821,8292.58,39.1343
4145822,8292.582,39.1343
4145823,8292.584,38.7393
4145824,8292.586000000001,38.7393
4145825,8292.588,38.7393
4145826,8292.59,38.7393
4145827,8292.592,38.7393
4145828,8292.594000000001,38.7393
4145829,8292.596,39.1343
4145830,8292.598,38.7393
4145831,8292.6,38.7393
4145832,8292.602,38.3443
4145833,8292.604000000001,38.7393
4145834,8292.606,38.7393
4145835,8292.608,38.7393
4145836,8292.61,38.7393
4145837,8292.612000000001,38.7393
4145838,8292.614,38.7393
4145839,8292.616,38.7393
4145840,8292.618,38.7393
4145841,8292.62,38.7393
4145842,8292.622000000001,38.7393
4145843,8292.624,38.3443
4145844,8292.626,38.7393
4145845,8292.628,38.7393
4145846,8292.630000000001,38.7393
4145847,8292.632,38.7393
4145848,8292.634,38.7393
4145849,8292.636,38.7393
4145850,8292.638,38.7393
4145851,8292.640000000001,38.7393
4145852,8292.642,38.7393
4145853,8292.644,38.7393
4145854,8292.646,38.7393
