,caseid,tname,tid
2069,27,Solar8000/ART_MBP,59e5217455324b58b772e57f7593b5c3d03434e4
2070,27,Solar8000/ART_SBP,4421d1dcfbec1b4a7df9f821d15c801467d7f914
2141,28,SNUADC/PLETH,2c0b41ff781b245daeba7de81b80f2b43047310a
2142,28,Solar8000/ART_DBP,778cee9eff7d133f044ba0f51f5ca9b1d8fe30ad
2143,28,Solar8000/ART_MBP,36c3295ef5c3bc6a5ea3a6dd326bc9bdef6a9938
2144,28,Solar8000/ART_SBP,3eb33337347f579bfeab99bd750f31deafe07bc6
2224,29,SNUADC/PLETH,454d6e390d73885bf7dbc65a2c328124237ef769
2225,29,Solar8000/ART_DBP,5fab64e3046f0ba7f94988ce8fe7e9442403cc57
2226,29,Solar8000/ART_MBP,faed763dc835eddbe4b200d74125b05c3fe58634
2227,29,Solar8000/ART_SBP,dd97f69ece0c3cb5fcefc00ac77467bd7a443b40
2395,31,SNUADC/PLETH,a7b297f1fcd078189a9d1ca9eded9a12e824d7b7
2396,31,Solar8000/ART_DBP,68212f2b7ca1cd9b9f8b66b137d55a4a653b5a52
2397,31,Solar8000/ART_MBP,0ab701c416184fbceae16376c0a56c4a0009e511
2398,31,Solar8000/ART_SBP,5898149460312692e63a7c0869caf24a9720f65a
2458,32,SNUADC/PLETH,a0da20cb2c86df8b70d17cabc4624a145156a930
2459,32,Solar8000/ART_DBP,aec979b50deeab0ea1c5fc2da185b219e5321b82
2460,32,Solar8000/ART_MBP,cf778a355dc21a9f8ccfb583c3fa2b2464775a61
2461,32,Solar8000/ART_SBP,789595b849ecc98c45ea480eaa24476effa61a44
2612,34,SNUADC/PLETH,6485d7070af93ab45ffb8e65c7883cebd673061c
2613,34,Solar8000/ART_DBP,1f3e523a770eef0b0f19818538cc528c0cb2e597
2614,34,Solar8000/ART_MBP,365b24deeb005fa235e7a68fc9ee561282885aa2
2615,34,Solar8000/ART_SBP,5c2f699743848dd03a15bbc2c7fe3e7f87087077
2946,38,SNUADC/PLETH,955666e47cf747ee984802fda03aca9a16613d8b
2947,38,Solar8000/ART_DBP,4aab4cbb357749fa07e2aa193a260a941df0bd77
2948,38,Solar8000/ART_MBP,dfb7b71f089af2441fac131b5e108bb4fbe0ea92
2949,38,Solar8000/ART_SBP,f19bcedc57c3b7f9baa3819965fd8ddf8501f457
3141,41,SNUADC/PLETH,bcb33c91b321fdbb57c443ca3fcda8a55b418ec4
3142,41,Solar8000/ART_DBP,7914ced41c7bb7fe54b836223317ca3969a636ff
3143,41,Solar8000/ART_MBP,66972dd1b116d2b1fc7b0141a9e368508b40ed7d
3144,41,Solar8000/ART_SBP,26ca79c4936118f7ce12b526a7f115e080184f68
3290,43,SNUADC/PLETH,762c8a9197a71d38e9805e2e3ce1f1fea6052d90
3291,43,Solar8000/ART_DBP,2fd788563c9e4ec989d75eb33565b6f464aaa4e4
3292,43,Solar8000/ART_MBP,05227cc64fa1ae47837de549a21435610febdc02
3293,43,Solar8000/ART_SBP,8b4b4dafd0d91cb6bbed9d913b48647e0855f163
3369,44,SNUADC/PLETH,b6802051520a4d22d7cc3b50c35f14e578e2c231
3370,44,Solar8000/ART_DBP,9fa126004e03b0569134f9dc823ca88a8a93a479
3371,44,Solar8000/ART_MBP,cd0c8ffc6caaf27330927bcbd5945a38e79f218f
3372,44,Solar8000/ART_SBP,f39d313a6d44ce94166f71c624dad9b2c10e860a
3521,46,SNUADC/PLETH,f7cc412f742a5dc181e95374bc3259a8085edfdf
3522,46,Solar8000/ART_DBP,67f39b9ddb5d60357175bdd67dddaa9291215c04
3523,46,Solar8000/ART_MBP,250e24b426ea3ed10ba6682177e8ed301c7893cb
3524,46,Solar8000/ART_SBP,370adc53fdcbad6b4cf3da416a52ab8ff3704298
3750,49,SNUADC/PLETH,d13086354bbd313db12b249aac06c2cc2fa3f8be
3751,49,Solar8000/ART_DBP,53840d31cfeab1ac5734b88c2afefc05629c1f5d
3752,49,Solar8000/ART_MBP,b8947c591924e17b5cde0c2e294ea97ac3f0451e
3753,49,Solar8000/ART_SBP,527bff018a14c89588a8623e7a5736cc29738213
3824,50,SNUADC/PLETH,cebea618e8b4bfd38a6fb40244afe89d82bc7c99
3825,50,Solar8000/ART_DBP,8ebbd79c6e8353fb329ca1c970ed3fbc90109980
3826,50,Solar8000/ART_MBP,50195922615273584e2c1fb5f2c7defae02f3f6a
3827,50,Solar8000/ART_SBP,b91d2092741e3ef5fdb72f89fe9f52789ecf7f0b
3896,51,SNUADC/PLETH,e23f66dbfc453b49b566331a86d86f209f475011
3897,51,Solar8000/ART_DBP,b5093dba87d3e60658dad35317da24b1a1f87b43
3898,51,Solar8000/ART_MBP,bec3097ac93a2672e59df7b3b239196b13c49563
3899,51,Solar8000/ART_SBP,9943216c824041c23df3daea6b731b3f60e464e2
