,caseid,tname,tid
113659,1487,Solar8000/ART_SBP,8889193e33f130a845b4edee3dad3899c2861a2c
113734,1488,SNUADC/PLETH,6418a4dd0f7b3bf06b00495314d8117e7525c2c3
113735,1488,Solar8000/ART_DBP,46937e3be642079570beb99a1f893a33a812a052
113736,1488,Solar8000/ART_MBP,8c33bb20ab2f284f874eb8ea1f2aadfc1577d203
113737,1488,Solar8000/ART_SBP,77a89a49beed6cb92945cf22ef41fca01ad70989
113828,1489,SNUADC/PLETH,d7b729971bd351f6be181dfe2adda6d6bf2fa7ce
113829,1489,Solar8000/ART_DBP,74d4f830d1fdb710def9b5d33e392468565ffd7f
113830,1489,Solar8000/ART_MBP,0f34e471eae37a844e226cc063686de821cae93d
113831,1489,Solar8000/ART_SBP,bda2db62d2bae7b11b2c7847c9e5b17c976cb5b8
113913,1490,SNUADC/PLETH,fb42f819726a2a9f3204f5d575239d9b6d4a73e7
113914,1490,Solar8000/ART_DBP,4983d1123134ec61b22ae54e8dbb463302ca4802
113915,1490,Solar8000/ART_MBP,7456869acd709d9c4e471f628553fd2246c474af
113916,1490,Solar8000/ART_SBP,f59476475ec4de44ff120a57198ce80e3eeaf78f
114063,1492,SNUADC/PLETH,835aeebd65c02a3214b78400bb0565f228d9cc07
114064,1492,Solar8000/ART_DBP,62e32858a9739a060c96c089096137a686a0e2f9
114065,1492,Solar8000/ART_MBP,313a9bf3ef49fc0f198675c6c641dec998893986
114066,1492,Solar8000/ART_SBP,f001f84488e48b934616de9cc81971f046e27c55
114138,1493,SNUADC/PLETH,1c18a42ee7200fcf3c056c3f546e1c52f11082b3
114139,1493,Solar8000/ART_DBP,26909e2d1041574387dec7c346396b742a52d55f
114140,1493,Solar8000/ART_MBP,7202c4c9d94164249c565dafc82b473a1655293a
114141,1493,Solar8000/ART_SBP,32b62726f4d052ed7ad3cd5135d0b289b33a68a6
114368,1496,SNUADC/PLETH,0aae568287caf7db9a6f78f7696c7e655632e254
114369,1496,Solar8000/ART_DBP,e479c2e9e4bf80534794d25803a8c2da4158388a
114370,1496,Solar8000/ART_MBP,90b7fee2762cd15f028fdac12931caeeb647a059
114371,1496,Solar8000/ART_SBP,b5c2208033ba4f5da42fabd194ebad43fa49a801
114448,1497,SNUADC/PLETH,c1ad301f1fe264363b48ea59f5319b1b0b07b6f9
114449,1497,Solar8000/ART_DBP,e91939c2e8180e2545bb1a3f3b952ba5cc98f65c
114450,1497,Solar8000/ART_MBP,4691754b271c4c883564c5bf2e81fd810993e88d
114451,1497,Solar8000/ART_SBP,68c9874477ae65660a88182386eb1ed9c21eee14
114519,1498,SNUADC/PLETH,110d868b2f850e185a033dc92e273d880fc70ad4
114520,1498,Solar8000/ART_DBP,b51c5567405babc577d27513ff0791cec8193579
114521,1498,Solar8000/ART_MBP,6fc1532645b70385ff305176a393c6d6fb4e789a
114522,1498,Solar8000/ART_SBP,176e6196567a4e60cb99cb1322505c8ee23a8097
114686,1500,SNUADC/PLETH,9b7a18ecaa2b0b69ea846121c2caada0d00525d5
114687,1500,Solar8000/ART_DBP,9299c8948dd9dd8fb1455fd510a0b3293607ebbd
114688,1500,Solar8000/ART_MBP,0cadc0b7ac9eb250915d2590d255f4f8e758d3de
114689,1500,Solar8000/ART_SBP,720f449159ee84805edf238fed2bac1b5ca27041
114909,1503,SNUADC/PLETH,61b83f0b9951a58dbec791813e7e4a7eb53f20cf
114910,1503,Solar8000/ART_DBP,d06cbb1f45173200ed7186d0939131d35c2c4eb3
114911,1503,Solar8000/ART_MBP,96f6db7c89c7b7be7dd8097052fc41660e7bbf06
114912,1503,Solar8000/ART_SBP,6093170ad27425fa7eb9a46981f1531ae664dc64
115018,1505,SNUADC/PLETH,36d829b8392cb6dac779a6aeaa0eb443007a88f9
115019,1505,Solar8000/ART_DBP,c000666f2f57a754f30a104b50435465a3667265
115020,1505,Solar8000/ART_MBP,c70ef48f78b18515355c708462bdcb357a972b55
115021,1505,Solar8000/ART_SBP,b203f1dc7fe076caaf81a2c95361d2245cffd768
115253,1508,SNUADC/PLETH,a84de487ef331d8cf0c5d7c0b1cea01813e647f8
115254,1508,Solar8000/ART_DBP,67dd6edc4ed55c54fd68cd7fcdfec3d4abca1105
115255,1508,Solar8000/ART_MBP,fe3763ff06f249a028fb767464ca552f536e857a
115256,1508,Solar8000/ART_SBP,8d9deff29abc7192a922ab3b724ac93a62d18830
115313,1509,SNUADC/PLETH,c14a8c85b0d5ff48400cadceb2a341e1900bc7ea
115314,1509,Solar8000/ART_DBP,75ffe444ddb83a5aba960ee9a67714850507197d
115315,1509,Solar8000/ART_MBP,10a1bcc4c9beeb7e81f88c6cc09411c6c9659f13
115316,1509,Solar8000/ART_SBP,64fcae316e16a194714d5a861ba250c025410b38
115453,1511,SNUADC/PLETH,b2a0a013c1f9fbb8f89a769e698ce80568ed9fb1
115454,1511,Solar8000/ART_DBP,ae216679cc9cb7e8129fc35d21198a58fde91f34
115455,1511,Solar8000/ART_MBP,1b9d89b302c19cf24103d4c44a787b6fb9182f73
115456,1511,Solar8000/ART_SBP,61413efc161793d368251bd826e109a674e675cc
115540,1512,SNUADC/PLETH,0f475d4fcbdcbc55634bf20da47e01beb0577cc3
115541,1512,Solar8000/ART_DBP,d4cecfe9390ea73071803d7b652fe74492ecc8ba
115542,1512,Solar8000/ART_MBP,068bb2bf0adc5706544db8bffe774ccfcc1bda64
115543,1512,Solar8000/ART_SBP,20c4c37cdce99a9be6c0cf28834f31627c0542b3
115771,1515,SNUADC/PLETH,b5c0313e8c0e77f4bb1d4bf6f5d0abd3d1e5a9ed
115772,1515,Solar8000/ART_DBP,b8bfc045866d8d64a1fb808c54428d64d7a19599
115773,1515,Solar8000/ART_MBP,8f2268872a3c1701fe6acddc795fdf803bace029
115774,1515,Solar8000/ART_SBP,f68598a1d3801cd7ee9a76e0369555a13670bbf9
116141,1520,SNUADC/PLETH,7ae5e60e4f468995498144200c98b2e9ed60d1c1
116142,1520,Solar8000/ART_DBP,44d6bf2c6f97b0c2e4c650bf170674d4f3210dbd
116143,1520,Solar8000/ART_MBP,5e6f03a33bb9841240b5962f607a4adb8ea249c1
116144,1520,Solar8000/ART_SBP,6d3283e2d28346c660b81a083ddc88c4f623bec6
116228,1521,SNUADC/PLETH,4f2f49ef2a2641f9d18a079cc641909eec5042db
116229,1521,Solar8000/ART_DBP,c08d0cbad9822432cb33b3eb8e72ed19d24bd665
116230,1521,Solar8000/ART_MBP,7c05d3ec971ad12d4c5519c7b9317a88f98c3e7d
116231,1521,Solar8000/ART_SBP,aa0081f80ebfdf50568e4bdd6d6a19772121a22f
116303,1522,SNUADC/PLETH,6eb4a05fe2a81ac25021f74eb039ba089b00dc72
116304,1522,Solar8000/ART_DBP,34bea9ec81071a52ce8868e177b69d07a80c70b7
116305,1522,Solar8000/ART_MBP,d0ff9741d4854aecbc8cd6c31e645901c911dbb1
116306,1522,Solar8000/ART_SBP,663dce7a49695e58cf581cea3c07fcf2eebca07c
116389,1523,SNUADC/PLETH,d72540da132cd84aa47a7573cc4ea149fe198b9d
116390,1523,Solar8000/ART_DBP,2393b9233c7f3a558d99cbc335dc584bc86d5c21
116391,1523,Solar8000/ART_MBP,555ab85c294073d66f7a80aa5c5447848b27208d
116392,1523,Solar8000/ART_SBP,06472c4d0b9854dbca7a3dfbd54cd4d3ee07486b
116459,1524,SNUADC/PLETH,83b177654b53acd6aa94388e674c3cab72c59aaa
116460,1524,Solar8000/ART_DBP,54b0043432b7aec9919df10212957e01230b8507
116461,1524,Solar8000/ART_MBP,346ce50c6b64e8ebad7b88539010f55f76b0da9d
116462,1524,Solar8000/ART_SBP,3463d49c8f4633c6f6596a56e21e88dbe87ebf56
116541,1525,SNUADC/PLETH,58e2e8abbcd3a4abae64685be34af1d090d128d7
116542,1525,Solar8000/ART_DBP,9fc05eda7e2afb8fb4a56f484385684f24d40857
116543,1525,Solar8000/ART_MBP,2e630199813c99764bdaf9f322cd7fcc15d9a642
116544,1525,Solar8000/ART_SBP,9b2534c5ca9ae990b7dfa854ef76dcea51a0c38c
116616,1526,SNUADC/PLETH,d7b0c73dfeb88914ac81fe76762873c70f137187
116617,1526,Solar8000/ART_DBP,13296567967de0c18b0704a5ab6116cb4e6c1f29
116618,1526,Solar8000/ART_MBP,54f77a8b0ccc0734027391117900665bb839dbff
116619,1526,Solar8000/ART_SBP,f9cfdceee19d67cd570a5a6ae37fb69d2a6cc3cc
116699,1527,SNUADC/PLETH,88b1494872322965c02262db83ec9f38bf46cbc7
116700,1527,Solar8000/ART_DBP,cf8e732a3c2b8510cdac92c7ef197821a27b1125
116701,1527,Solar8000/ART_MBP,e8678489c54538ccc3b4b3558bea7ca30a2bb2e1
116702,1527,Solar8000/ART_SBP,54c4961caf28b2b2c9649f777a9653335b4e0a49
116887,1530,SNUADC/PLETH,96c7754f5a8a3f3823a53ab4c9568e77f5ce5c2d
116888,1530,Solar8000/ART_DBP,896d3b3a2b4c56bc7cbd8567514cb5d99d11788a
116889,1530,Solar8000/ART_MBP,6a9b081414be34e306741e1bb3a2a504bed33846
116890,1530,Solar8000/ART_SBP,238b9f78530bd9ed996567382600b943006cf406
117022,1532,SNUADC/PLETH,607481928c0c61b0f9b9350f78d4014468ee16b3
117023,1532,Solar8000/ART_DBP,4101c893be9f8eb38b0abfee3d4dfb5efb899d54
117024,1532,Solar8000/ART_MBP,9fe5252418884aa4a2fe6d61dacc0bef629c389f
117025,1532,Solar8000/ART_SBP,6cd91ef7581fea8e147560e789a260f5c2f6d963
117297,1536,SNUADC/PLETH,385a298f1c19d08270f449359b5bf922380c1d91
117298,1536,Solar8000/ART_DBP,3881228ccd8110ee39a5cb6af397764d0ef4b312
117299,1536,Solar8000/ART_MBP,1310635968a2dde0dbf7ee1d888f89943ca1b7a9
117300,1536,Solar8000/ART_SBP,073ff5656a413be49a34c637428e493604fa46fd
117381,1537,SNUADC/PLETH,67ba7aaccfd7db4c2998fb1b4c24d7a67804cf76
117382,1537,Solar8000/ART_DBP,ebafb354ccd01d31c75d08f43b3456ea191b3814
117383,1537,Solar8000/ART_MBP,4d460920d951560ea3a63901ca51de2bd40ff4fb
117384,1537,Solar8000/ART_SBP,1e05a587680124fa6d7a761a8560aef59939d364
117535,1539,SNUADC/PLETH,f0b45042553514d2df5aa67f7c121cf1cd99152e
117536,1539,Solar8000/ART_DBP,2a8e99d3efdc0263115ee60bbda7ec4b1308ff4e
117537,1539,Solar8000/ART_MBP,dd96756246d3553f73642b2963e8e9a205676f42
117538,1539,Solar8000/ART_SBP,62e764e513de22aa93207fb0fd89dc8d1f390e12
117620,1540,SNUADC/PLETH,84778d2cc326ba71821a51b9f6c1f9cad20605c5
117621,1540,Solar8000/ART_DBP,3727e80c7b61121119ac7c4f4ef0deb5cf92dc1a
117622,1540,Solar8000/ART_MBP,e9aa64906ce2bf82f9ad148d25fc3c7abf029678
117623,1540,Solar8000/ART_SBP,1237f8096f685e6ef3027f1a2a5623002d0bdbe7
117700,1541,SNUADC/PLETH,c3d4230f853818ab68f601a5930ba959cfc028a5
117701,1541,Solar8000/ART_DBP,e3c13ceebd103f4e19d9e84bb0318c051a67763e
117702,1541,Solar8000/ART_MBP,1c240fd8633370c1fb76a0a4bf7e0d7f349230a4
117703,1541,Solar8000/ART_SBP,335db9c0a9211578594c7ca80bf7eaef377df4d4
117784,1542,SNUADC/PLETH,e9eef95ef96b4fd7538837ebb6f713645563629c
117785,1542,Solar8000/ART_DBP,04ffe590525597a7eb5b535a51d902be31919a63
117786,1542,Solar8000/ART_MBP,6112b79771d01a345a32461fa8e26710adeb0d63
117787,1542,Solar8000/ART_SBP,57b65195b0b9cabb90571d6ac0694e1944f48ee3
117865,1543,SNUADC/PLETH,3b3c2b1dce6d81f30f37be283f24b4a83f810647
117866,1543,Solar8000/ART_DBP,a9e5239a6f90c049e918118d992218a3c804fbe7
117867,1543,Solar8000/ART_MBP,1d306842657cf6d9a0d3e5499546308b276252c1
117868,1543,Solar8000/ART_SBP,72177b0177619daf6d481f627612e735e229e907
118000,1545,SNUADC/PLETH,c19f1e809a67ccc1def057e6393a5b6806a1836c
118001,1545,Solar8000/ART_DBP,5329ce536a2944d603818fbbfa314612edb9a2ba
118002,1545,Solar8000/ART_MBP,f366298f2bf26b1bb0f59b375b0c594eeeb7f2cc
118003,1545,Solar8000/ART_SBP,87c896e82872d73e216a5c2b01ee948c751c2287
118082,1546,SNUADC/PLETH,7c6b80f8854bd996ed8025738025ca1b7b8ba718
118083,1546,Solar8000/ART_DBP,243283795d47dd6bd47d5001aea36480c8e09137
118084,1546,Solar8000/ART_MBP,30dc8528cd20c502b935caeca952e7b5f103f636
118085,1546,Solar8000/ART_SBP,7016af3ec94e2310570460965e6f745760b55343
118185,1548,SNUADC/PLETH,a578f080b5b65a24b233c1d70a96ffe7c406fcc4
118186,1548,Solar8000/ART_DBP,a66682d36ea09e1cb3f73903cf827335241052ee
118187,1548,Solar8000/ART_MBP,d7ffac124e617e77b26462e558a74c7345c023c3
118188,1548,Solar8000/ART_SBP,ee3be1588a88edeeff28a1762fc04b465e749ffc
118262,1549,SNUADC/PLETH,e45156288d94c855d4212c63df692a5357a2bf35
118263,1549,Solar8000/ART_DBP,b8eba68c664c47b080f36afbc6b971b53e7224d7
118264,1549,Solar8000/ART_MBP,9c4158c3020d5bded5d3756d309f5953abb29741
118265,1549,Solar8000/ART_SBP,1a1b9ba62b684fdc8be1ce34e97fc8cb14e552a5
118492,1552,SNUADC/PLETH,548429d763ed7dd559888e444746baf02dd495fc
118493,1552,Solar8000/ART_DBP,456f68125c2741349182e4c031ab395822e213b6
118494,1552,Solar8000/ART_MBP,fb5a5312b386da0eca7e241aac15921ef8b59bb6
118495,1552,Solar8000/ART_SBP,d6cad8cff432e90373901ee2f344650d6d64048b
118578,1553,SNUADC/PLETH,7c94feff394d6b32b90156adbe3f71cdade7e725
118579,1553,Solar8000/ART_DBP,372bb8d2a0f152bdbd165d0af4d4e837b0e6371b
118580,1553,Solar8000/ART_MBP,8cef690748e7aa044da673f6039016cf676cf898
118581,1553,Solar8000/ART_SBP,0d566fb6450f79c2c70c7f1c15e5ff7efa729393
118655,1554,SNUADC/PLETH,b9b01586c3217fa72c590f708e618fc044434e2b
118656,1554,Solar8000/ART_DBP,5171aa14b86a53b07141b25900a9b682fcfeeb91
118657,1554,Solar8000/ART_MBP,96aa4d6f3f1a5a67ff81fc7ad02bcb440caadcb0
118658,1554,Solar8000/ART_SBP,168892da0518aff422beef4139184eaf01a3f7c8
118732,1555,SNUADC/PLETH,b6427aead5d8bf4ad3ffc41922cfb45c4cb09e28
118733,1555,Solar8000/ART_DBP,c45482003aefae82d909fbea150158c0cdbd18f7
118734,1555,Solar8000/ART_MBP,8a891677a2141afedd92a6b3197bdb0ac45f7627
118735,1555,Solar8000/ART_SBP,2c5107be9bd9a39a7649ebe44b6d6327be3c9611
118805,1556,SNUADC/PLETH,8331615cae6d8dadf09ea6482c0c7d2ca16c2113
118806,1556,Solar8000/ART_DBP,64826fb8d1560df24c8012418c5846c48534362d
118807,1556,Solar8000/ART_MBP,2d48ca765c0724ed62217c0a02c03034db3955c7
118808,1556,Solar8000/ART_SBP,20205413cad665f3970a2c546a46d6326197437e
118973,1558,SNUADC/PLETH,e5b537412e576a5dd14bb1a7b980c5348796943e
118974,1558,Solar8000/ART_DBP,e8b54b3ff4a27007c3cb31c8433ceacd1349c62a
118975,1558,Solar8000/ART_MBP,ee97833b3d2284dda85c06f54de0f227df4fc712
118976,1558,Solar8000/ART_SBP,92a76a9cd2c840485294bc7e2140145cfd438016
119058,1559,SNUADC/PLETH,dbf7146de2b4e025c1e2e0bae648a26abea55298
119059,1559,Solar8000/ART_DBP,357e1827eb3e457d56d76cbb91c280a2a8902cfa
119060,1559,Solar8000/ART_MBP,7f265b5a9cd719d31d96502497e6fbfd00798aa6
119061,1559,Solar8000/ART_SBP,9fc1177202b18ae9013b400bed24c152ac213be2
119168,1561,SNUADC/PLETH,cee2ac914928e3fa0c920c0d052d87b8dc768ec4
119169,1561,Solar8000/ART_DBP,a150bf8d755afebc7399765a4f56710ff141071c
119170,1561,Solar8000/ART_MBP,e5047fe596000278d59ed74446425eb1ccae470d
119171,1561,Solar8000/ART_SBP,69ac5d84670d304becf67c400386c3cb1ee2e7da
119244,1562,SNUADC/PLETH,004574faedacbdde80e9983867ec8bc90c5a8158
119245,1562,Solar8000/ART_DBP,44444c858169770935661a9d508d3700aaa254dd
119246,1562,Solar8000/ART_MBP,b57afe22f64eabc66ed0bef87936168275fabbca
119247,1562,Solar8000/ART_SBP,95b75dbe4a56ee7cb40f1f0d74bf388075beb828
119324,1563,SNUADC/PLETH,ed18953660c27ce90283f9f2c7c82be185ac84cd
119325,1563,Solar8000/ART_DBP,cea836f58cf4e8049a2de93c520abcf812e942aa
119326,1563,Solar8000/ART_MBP,5f8d91ac46d288f0602620db02894b778b603f4a
119327,1563,Solar8000/ART_SBP,9436319165686edb740f60d4216631058a9c5ffd
119581,1566,SNUADC/PLETH,25288e68ad82498554a22c936d5baba69fa53acd
119582,1566,Solar8000/ART_DBP,84acb1249671f33dec48ff9b8b684de9ae786893
119583,1566,Solar8000/ART_MBP,a8346e2a1acbda5f8be1ac38129c7c9062fbf7fa
119584,1566,Solar8000/ART_SBP,d7848243a478a06e2ce5c7a58c03f32cde9ac220
119665,1567,SNUADC/PLETH,9342e4308a906dd69018c7c3a8aa05ad52f7dcf8
119666,1567,Solar8000/ART_DBP,db85d90cbaaea60f692d767e4c08c011eabf2a60
119667,1567,Solar8000/ART_MBP,e2c13fff0b8d7c1697020f32dda877d403c10ed1
119668,1567,Solar8000/ART_SBP,1c4f09a5f407e341918f9e6a6e6d0070ffcc5f62
119751,1568,SNUADC/PLETH,8b2d07cd6cc261323ee363a20a6c01ffb20ed631
119752,1568,Solar8000/ART_DBP,a420257a3c001193a6d0b00ca769340e78d5a495
119753,1568,Solar8000/ART_MBP,b19618b9641b9191aa79a80dc55931bb830a3303
119754,1568,Solar8000/ART_SBP,4f82b2fa277f17ba2c0acfc22791393af63978ea
120140,1574,SNUADC/PLETH,da5d7d0c0d899fa027f9042993e4293bf6eb87ac
120141,1574,Solar8000/ART_DBP,1152a6be2ee311fe5fdddf931b412a4b9bb0ae37
120142,1574,Solar8000/ART_MBP,0b3e894b8e991ebbc5278bd1f83f1f45e1960dc2
120143,1574,Solar8000/ART_SBP,34b133a4bb4f26349852479860931e9b4753186d
120225,1575,SNUADC/PLETH,9d632f6a31bbe07efe2958f2fadd5dfb990210aa
120226,1575,Solar8000/ART_DBP,0837bd1684cf235445030ac3ff1e6ea0ff22cc09
120227,1575,Solar8000/ART_MBP,ff50680752662b90893e4b8de0509f3d45d65723
120228,1575,Solar8000/ART_SBP,a96cefff49e6cfb8de6223a6f3b3e6e0236a8ff3
120301,1576,SNUADC/PLETH,eb68ea3f50e817f34178cf083a51ff047eb0d2c8
120302,1576,Solar8000/ART_DBP,c31099a4f871599ceb68b506d37eff376d127190
120303,1576,Solar8000/ART_MBP,1ce507c68a19e54e3c382591ff98aab251c1c162
120304,1576,Solar8000/ART_SBP,1de9aacd5ae636d80311aed98e4ea1b22a1542a3
120591,1580,SNUADC/PLETH,c02977d69f7dc4d7c724ef2057ccd697f0f3f886
120592,1580,Solar8000/ART_DBP,4ff1f3b3297c6d3ddccbefc7eea6e1cb8b781f85
120593,1580,Solar8000/ART_MBP,7b64f5af17707e3f1f7dd098ddf00c3b9b8cbb75
120594,1580,Solar8000/ART_SBP,80cbe89756bb246cd3aa9ba1d07e9e4430c16b07
120662,1581,SNUADC/PLETH,90d190532c294357bb19317e0c554e22884ffaa8
120663,1581,Solar8000/ART_DBP,778b0d06ea965de9dbc5d5504e191b3746dfb858
120664,1581,Solar8000/ART_MBP,1a66a2c50b2dac62f18c671f3288adcf0d47c694
120665,1581,Solar8000/ART_SBP,3051ef9a3dd677ccb768f8dd0419c5bec27c3364
120820,1583,SNUADC/PLETH,e562bc5b7a87afd7923318ca933bb26da331223f
120821,1583,Solar8000/ART_DBP,523d09cd6ba28c562c52b1f1d07b3d3b1a2f4bda
120822,1583,Solar8000/ART_MBP,0b059782d20bd91463542faac9143bdc370d2f43
120823,1583,Solar8000/ART_SBP,203467caab51b35e08dcfb07954171bb12e48227
120983,1585,SNUADC/PLETH,334ab61c0916ac04f0b901f088773cb41923238e
120984,1585,Solar8000/ART_DBP,ab873cab38f824269dbb75402820a3ddf08fa497
120985,1585,Solar8000/ART_MBP,3b676974fe06db7eb197a63a445c747519f03ee7
120986,1585,Solar8000/ART_SBP,75baf0d01f9f185cdb12c6eb38bdb0ce560883d7
121070,1586,SNUADC/PLETH,1b26c4c8cebaf36fde8d76c905d1659183ffa3b4
121071,1586,Solar8000/ART_DBP,2ee7d16497ceb6261f2cd4d2d2d0810945f7343a
121072,1586,Solar8000/ART_MBP,aceec0dfe929f8dd400c93521bd866a6654bb1cc
121073,1586,Solar8000/ART_SBP,21127fe13726d392e8e217498e63156559fe231c
121504,1591,SNUADC/PLETH,7fb0642b6db7804ac04ea2d5e7fd97945610683d
121505,1591,Solar8000/ART_DBP,fc5bc8fc5f18556196ff0fc1a79320c16c48e0cc
121506,1591,Solar8000/ART_MBP,f78ab96ea0e9ae5c4e420b59d982af2f3da13788
121507,1591,Solar8000/ART_SBP,622589f7c883ad62be698c68b5bbe3cfe286fa42
121689,1594,SNUADC/PLETH,cbeab3fad79ff2cc968e53af98b8b16a24d27725
121690,1594,Solar8000/ART_DBP,da112a33748308a2574168f5c705e6eb7f6bab33
121691,1594,Solar8000/ART_MBP,da060fa2fe70669fc23f106766d95d9aab6f3a61
121692,1594,Solar8000/ART_SBP,9e66a3c40f6fb9537d7de904857ca6b9f0a5808e
121770,1595,SNUADC/PLETH,3ab4e888dadf64333ecb497d5064cdfc27c0b46b
121771,1595,Solar8000/ART_DBP,b04871499b8fe6fb8a8cef92e35036198343bdb9
121772,1595,Solar8000/ART_MBP,02530041d4305718360d82963df62c07ace1f6b3
121773,1595,Solar8000/ART_SBP,350918801c819cf2aedab8be28279ab044d18fd4
121846,1596,SNUADC/PLETH,ef1dd3703bf2b68862031563ba79d71e85f2df56
121847,1596,Solar8000/ART_DBP,9f4d6f528f9a8e968f7c41be05ed22e09ec3cf84
121848,1596,Solar8000/ART_MBP,359cf954304f642141a8be6a293ab76ae763097e
121849,1596,Solar8000/ART_SBP,34bf05e8ab7a04677316736fbb00d38fc50c1d4b
121934,1597,SNUADC/PLETH,982f8b6c1a7551b3293c2ffae0908731c6dd2fda
121935,1597,Solar8000/ART_DBP,89e42c697e9ceecf2b8679eef14407204ca65ca7
121936,1597,Solar8000/ART_MBP,c0b2c0ab996f705e106e2cd38b41e7643e3a9c6a
121937,1597,Solar8000/ART_SBP,178243d3d777e4bc6c76958fcebfca797440ae69
122092,1599,SNUADC/PLETH,460e842105e78d50faca32606bd3b6c78573096d
122093,1599,Solar8000/ART_DBP,99168d7d66fee94f7d13f20ddbbfa5d243134690
122094,1599,Solar8000/ART_MBP,74dc6b3fc5d5b48a91de542b7ca9ba1e8a0cbcfa
122095,1599,Solar8000/ART_SBP,864b1b8d1e1373bb9327e7a137ee398e2561ddac
122170,1600,SNUADC/PLETH,cb5c1d7b2f3d5a4f1519778c81aabd99dd2a8a59
122171,1600,Solar8000/ART_DBP,597249c8b1fa55fbb28bdccf85dc8240532ae41d
122172,1600,Solar8000/ART_MBP,cf4b85b80f093f35e43fa6dcb5189a0c9c09c994
122173,1600,Solar8000/ART_SBP,ba95d61e467d2d20e99f2e576bf58a0c4bf48b62
122245,1601,SNUADC/PLETH,bc8cd4b31a8c0b1797c01518c647f65c6e3065cc
122246,1601,Solar8000/ART_DBP,05d7a5f916156c7c9114cc971ec530ebd18e0e96
122247,1601,Solar8000/ART_MBP,4839ae0b7f617efa20be871308e9f9447583fcc8
122248,1601,Solar8000/ART_SBP,e2e20c6ae6d888272f42eed8733ed87220e8271e
122335,1602,SNUADC/PLETH,60f8a5e3efc7e8777ba056de295850380e630afe
122336,1602,Solar8000/ART_DBP,6400f86861e938ee83393e3a9ab7f669670ff6f9
122337,1602,Solar8000/ART_MBP,7bee4f14a64568d7bdbd1eb414a0d607c861052f
122338,1602,Solar8000/ART_SBP,d04999dbe9dee79ba8e6403aa8d93cecf6ea9e05
122562,1605,SNUADC/PLETH,3df0d86ee77827263f5798fcce2d4b38c353594d
122563,1605,Solar8000/ART_DBP,3c361b9466d1f67fc1e0867d513091f603c74d60
122564,1605,Solar8000/ART_MBP,89bcbb424660f1041bf2c56958d3392d7a9acd28
122565,1605,Solar8000/ART_SBP,2766d2d73aa5f37946e3cd4d05650334cc4bdeb6
122802,1608,SNUADC/PLETH,449253980c1d214ad8043d2b47633767b48f2338
122803,1608,Solar8000/ART_DBP,decc87f9440b51b8a03fb58ff368b873b5b28e47
122804,1608,Solar8000/ART_MBP,b3acb4e8189cd4b234692530b7bcc6234d9137ef
122805,1608,Solar8000/ART_SBP,74b0145fef2971a239f2d5fde74132646167ebe0
123043,1611,SNUADC/PLETH,daf6afa1fca2f059ffa0f30ba75c28566841a619
123044,1611,Solar8000/ART_DBP,735d320dddf6ee94ba2ecc8aed4ce50d4d071517
123045,1611,Solar8000/ART_MBP,1aebe9fdc0a237d89b8434bf717f134bb9d8ae0d
123046,1611,Solar8000/ART_SBP,606df72b598ff2e70c7dcc73a8b9e4ee240b56b9
123123,1612,SNUADC/PLETH,d97526d6a78282a5d916b512f410e8011c460f88
123124,1612,Solar8000/ART_DBP,e0eebaf54d71c4917b0ce0f9fbc7649af83c1eed
123125,1612,Solar8000/ART_MBP,3a2122dbf31d4b6128c190da9659986afff2b48c
123126,1612,Solar8000/ART_SBP,af044b85e229dcd207026bcaa08242ddbff55c0f
123205,1613,SNUADC/PLETH,6f9c3d23a580bc5f8b48eac45dd3be885f23f308
123206,1613,Solar8000/ART_DBP,18579db76276a1833df07d035a1c20062ddf2d6d
123207,1613,Solar8000/ART_MBP,933b44939bef5a4e8ad9b360c02899933017e9ab
123208,1613,Solar8000/ART_SBP,38f762406cd99494802a5ef6f7d085bc86a42a36
123376,1615,SNUADC/PLETH,c1208f41b2df080664c356c4c485c9a3c61ceae4
123377,1615,Solar8000/ART_DBP,00f227f51966e170978a9e451e47f18917ccce8f
123378,1615,Solar8000/ART_MBP,5612b252a942d1d312e6669e4ced5a2074fa7afc
123379,1615,Solar8000/ART_SBP,98ef8288f57f3bcf1f7280e1b92b293150e9a831
123450,1616,SNUADC/PLETH,bcccd1217572f203e97dca9f8d8b6a5f1f64a304
123451,1616,Solar8000/ART_DBP,a6d85fafdb04349e6d8d2a987f2eb7f1b7a8d195
123452,1616,Solar8000/ART_MBP,8199800f76c1fdc42465d3f0bb6174bea5dd197d
123453,1616,Solar8000/ART_SBP,2c14fe6cfc2461db4fe12ece412985add44ec044
123553,1618,SNUADC/PLETH,8a73ccef0cc26b67784530e50bb1d133a1afa39e
123554,1618,Solar8000/ART_DBP,a45341948fa573627988df9447c111460e2def74
123555,1618,Solar8000/ART_MBP,6af953b4df4d079abd4f3f8587c1f9921fb587a9
123556,1618,Solar8000/ART_SBP,f9acf70871d2b66015bc653d993594101fc1b003
123708,1620,SNUADC/PLETH,ef33ac6f256009bdfd2e9d332332e40df5a337ed
123709,1620,Solar8000/ART_DBP,fa058e399bafe9352721f9615884f76a8b82fb17
123710,1620,Solar8000/ART_MBP,e6b31073027489ac89f72c695b5b0e0c4b0edfed
123711,1620,Solar8000/ART_SBP,65054170f22e3d428b9c445b430a9febd32da03b
123949,1623,SNUADC/PLETH,d935e8beaa421b256ba65a33fa421fbb8f3f985f
