Time,SNUADC/PLETH
0,0.5850272014058762
1,0.5738118744990588
2,0.583622024289488
3,0.5765385462624124
4,0.5805861985832673
5,0.5841277774753618
6,0.6104378813568383
7,0.6271345653499901
8,0.6281464175840553
9,0.6276407028273279
10,0.6063900112708205
11,0.5912113067412993
12,0.5967769231541261
13,0.6084139860239474
14,0.6286524910128158
15,0.649902771377457
16,0.6524323955577626
17,0.6473730575291432
18,0.6377595454108675
19,0.6220747021230368
20,0.6266285175406606
21,0.637759840034323
22,0.6519269498050595
23,0.677224920919702
24,0.6893678522628363
25,0.6863319368886074
26,0.6812724195239717
27,0.6625515583841887
28,0.6585037395370328
29,0.6706468374064675
30,0.6807663076660645
31,0.7065705443551995
32,0.7247848196776037
33,0.7313626341868136
34,0.7333865564201067
35,0.7156778165184138
36,0.7020169851318853
37,0.7035348979849954
38,0.7050528876963985
39,0.7293391551696748
40,0.7556488811645453
41,0.7632384710495274
42,0.7657678620930116
43,0.7571665762524925
44,0.7419877935837071
45,0.7399641275447226
46,0.7455295005729562
47,0.7571667940176554
48,0.7855007048449859
49,0.8006796040821823
50,0.8072571495873675
51,0.8107988181474702
52,0.7855005472854859
53,0.776393203387865
54,0.7839825114591074
55,0.789548230349658
56,0.8158581561760896
57,0.8345789916964416
58,0.8360965074483726
59,0.8360964818289416
60,0.8178819759316592
61,0.8042210933062687
62,0.8092808412457827
63,0.8128224841864546
64,0.8350848857891858
65,0.8573470696267541
66,0.8613949909516335
67,0.8603828312843972
68,0.8502634506928081
69,0.8320483939777609
70,0.8330606305032904
71,0.8376144587306295
72,0.8492517521753284
73,0.8765737120056877
74,0.886693077353715
75,0.8856809176864787
76,0.8801153781319443
77,0.8598770089260594
78,0.8502636428385398
79,0.8583588706219571
80,0.86341845203517
81,0.8907404478608297
82,0.9094607453731325
83,0.907942999046323
84,0.904401409778359
85,0.887198894588166
86,0.8735375508130189
87,0.8770793602799917
88,0.881127076649424
89,0.9008597003552641
90,0.9236281241478939
91,0.9286876543222451
92,0.925651815806309
93,0.9160386751697817
94,0.8988360727454262
95,0.8952940967521524
96,0.9028832895359556
97,0.9160382524491711
98,0.9408304471923548
99,0.9519617544424558
100,0.9484199577851984
101,0.9438665394687542
102,0.9241339785305199
103,0.9140147657462038
104,0.9210980260081163
105,0.9256517389480164
106,0.9519617672521716
107,0.9666346173990663
108,0.9671408189249815
109,0.9635990978450452
110,0.9458904232729014
111,0.9307115253166768
112,0.9347591776375315
113,0.9388067915292403
114,0.9590453477569706
115,0.980295743409051
116,0.9818135922135839
117,0.9772600842291316
118,0.9671405755403881
119,0.9469019936932268
120,0.9438663601327383
121,0.949432002164996
122,0.9610690137959549
123,0.9853550966812318
124,0.9919326781817174
125,0.9899088328067165
126,0.9833316075444178
127,0.9595513046173205
128,0.9499379218771705
129,0.9565154930017867
130,0.9570213486653842
131,0.9823196144034824
132,0.9949686704142389
133,0.9914267584695424
134,0.987379079248285
135,0.9681525558716082
136,0.9509498637792444
137,0.9539856638660339
138,0.9585393896156493
139,0.9747302294739474
140,0.9949688625599711
141,0.99648660888678
142,0.9909209796642374
143,0.9772601226582779
144,0.9565157876252424
145,0.9514562190217449
146,0.9560096373381891
147,0.9635990606968703
148,0.9853552247783862
149,0.9929446713226525
150,0.9868733401530978
151,0.9792840064624249
152,0.9575276257686207
153,0.9448783660833888
154,0.9499378322091626
155,0.9524676229157691
156,0.9752361235666918
157,0.9919328959468803
158,0.9863674076312078
159,0.9813077608884456
160,0.9585394024253648
161,0.9423485113282047
162,0.9438665266590387
163,0.9469024164138368
164,0.9641048266924599
165,0.9838375016371619
166,0.9853553248222637
167,0.9802956665507584
168,0.9666345533504893
169,0.9433603379428391
170,0.9388065225252157
171,0.9433604916594248
172,0.9519618889444685
173,0.9762481575706194
174,0.9843434085396217
175,0.9787781764182586
176,0.9914552942456868
177,0.9652855943106312
178,0.9524676919459025
179,0.9540699738549513
180,0.9583426309628501
181,0.9850460719599275
182,1.0
183,0.9973296248011501
184,0.9935911968765968
185,0.9706262784536365
186,0.9530023673343369
187,0.9481956432994875
188,0.9460593079848548
189,0.965285741693524
190,0.9909210380196077
191,0.9978641244118223
192,0.9962618695455064
193,0.9791714304130388
194,0.9535360691843965
195,0.9439226616787968
196,0.9401844095320064
197,0.9497976006957449
198,0.9775692592439804
199,0.9898527959947769
200,0.988250338307966
201,0.9850459205206249
202,0.9551381914061091
203,0.9423205285047779
204,0.9417864886205605
205,0.9417865291846593
206,0.9658195949828862
207,0.9807737123220875
208,0.9759667922274265
209,0.970626291975003
210,0.9508653829941208
211,0.938047844354146
212,0.940718192510264
213,0.9439226481574311
214,0.959944710051404
215,0.9759669991043313
216,0.9759670288513371
217,0.9738308828358332
218,0.9588768601461962
219,0.9343094840364248
220,0.9220261340156974
221,0.9124124696041379
222,0.9188214620266695
223,0.9476610841948032
224,0.9642174212447684
225,0.9738305583230414
226,0.9732964508319921
227,0.9385818597646907
228,0.924162131296172
229,0.9289688499224746
230,0.9295026653520113
231,0.9444569584689747
232,0.9583428878688102
233,0.9497976791196693
234,0.9423207989321045
235,0.9252306167055968
236,0.9097425946958413
237,0.9092084331193266
238,0.9076059348684168
239,0.9241620636893403
240,0.9433887543039691
241,0.9444566880416482
242,0.942320366248382
243,0.9257641968633595
244,0.9006628349548362
